GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
prueba,com.puntored.prueba.model,Payment,18,0,0,0,7,0,2,0,2,0
prueba,com.puntored.prueba.model,PaymentStatus,0,71,0,4,0,10,0,6,0,4
prueba,com.puntored.prueba.security,IpRestrictionConfig,15,0,2,0,5,0,3,0,2,0
prueba,com.puntored.prueba.security,JwtTokenService,0,55,0,0,0,17,0,4,0,4
prueba,com.puntored.prueba.security,SecurityConfig,110,0,0,0,23,0,8,0,8,0
prueba,com.puntored.prueba.security,JwtAuthenticationFilter,6,58,1,3,2,15,1,4,0,3
prueba,com.puntored.prueba.security,IpRestrictionFilter,0,40,0,4,0,13,0,4,0,2
prueba,com.puntored.prueba.security,AllowedIp,4,0,0,0,2,0,1,0,1,0
prueba,com.puntored.prueba.exception,GlobalExceptionHandler,23,47,0,0,2,5,2,5,2,5
prueba,com.puntored.prueba.service,AuthService,0,33,1,1,0,4,1,1,0,1
prueba,com.puntored.prueba.service,PaymentService,5,224,5,27,0,49,6,19,1,8
prueba,com.puntored.prueba.service,SandboxScheduler,0,55,1,9,0,13,1,7,0,3
prueba,com.puntored.prueba.service,IpRestrictionService,13,64,0,0,4,11,1,6,1,6
prueba,com.puntored.prueba.service,ReferenceService,2,61,1,7,0,11,1,6,0,3
prueba,com.puntored.prueba.service,CallbackService,27,208,4,22,6,44,5,19,1,10
prueba,com.puntored.prueba.model.dto,ApiResponse,0,7,0,0,0,1,0,1,0,1
prueba,com.puntored.prueba.controller,PaymentController,6,86,3,1,1,17,2,5,0,5
prueba,com.puntored.prueba.controller,AuthController,0,24,0,0,0,3,0,2,0,2
prueba,com.puntored.prueba.controller,AdminController,0,46,0,0,0,7,0,4,0,4
prueba,com.puntored.prueba.config,AppConfig,3,0,0,0,1,0,1,0,1,0
prueba,com.puntored.prueba,PruebaApplication,3,5,0,0,1,2,1,1,1,1
